id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SPAG7	6	0.001277	0.0016006	0.209263	68	2	0.060065	0.2102	0.39213	0.963749	6801	1	0.060065
PEX10	3	0.0013056	0.00014818	0.057019	69	2	-10.706	0.92198	0.88437	0.992095	19265	0	-10.706
LENG8	5	0.0013297	0.00051256	0.126949	70	4	-9.6173	0.60134	0.6448	0.963749	13231	1	-9.6173
DEPTOR	4	0.001345	0.00012889	0.056616	71	2	-5.4101	0.19213	0.32449	0.963749	6362	1	-5.4101
PTH2	5	0.0014063	0.00064167	0.135653	72	3	-7.8138	0.8156	0.77054	0.968649	17083	1	-7.8138
PAQR7	5	0.0014102	0.00064213	0.135653	73	2	-0.13866	0.41898	0.55649	0.963749	10542	2	-0.13866
DGKQ	4	0.00142	0.0001344	0.056616	74	2	-5.2647	0.38208	0.49609	0.963749	9948	1	-5.2647
ASPG	6	0.0014761	0.0016061	0.209263	75	2	0.078826	0.66323	0.71661	0.963749	14191	1	0.078826
SLITRK2	4	0.0014844	0.00014083	0.056616	76	3	-10.072	0.58185	0.60043	0.963749	12931	1	-10.072
OGT	5	0.0014993	0.0007446	0.149949	77	5	-2.5235	0.9985	0.99945	1.0	20633	0	-2.5235
LOC152586	4	0.0015003	0.00014451	0.056616	78	2	-5.3779	0.87036	0.82571	0.977658	18184	0	-5.3779
KIAA0754	4	0.0015122	0.00014451	0.056616	79	1	-0.30497	0.75495	0.70119	0.963749	15844	1	-0.30497
MRPL32	4	0.0015227	0.00014451	0.056616	80	3	-5.8805	0.73551	0.69043	0.963749	15445	1	-5.8805
TMPRSS6	6	0.0015481	0.001608	0.209263	81	2	0.05818	0.16611	0.33732	0.963749	5697	1	0.05818
UROC1	2	0.0015708	0.00019919	0.067555	82	2	-9.9148	0.99843	0.9998	1.0	20632	0	-9.9148
SNAI3	5	0.0016719	0.0010672	0.180122	83	2	0.017616	0.81709	0.77054	0.968649	17121	1	0.017616
FBN3	5	0.0016992	0.0011306	0.180122	84	3	-0.79964	0.35175	0.50627	0.963749	9552	1	-0.79964
SPRY3_X	5	0.00171	0.0011545	0.180122	85	2	0.0022997	0.7988	0.76233	0.968649	16765	1	0.0022997
NUCB1	5	0.0017274	0.0011747	0.180122	86	3	-9.53	0.24196	0.39125	0.963749	7474	2	-9.53
MYRF	5	0.00177	0.0012643	0.18788	87	2	0.086659	0.10797	0.23959	0.963749	4227	2	0.086659
B3GNT1	5	0.0018053	0.0013617	0.194381	88	4	-9.9374	0.95533	0.92789	1.0	19924	0	-9.9374
MARCKS	5	0.001828	0.0013621	0.194381	89	2	0.037806	0.89431	0.85337	0.982187	18698	0	0.037806
FATE1	5	0.0019349	0.0015639	0.209263	90	3	-10.114	0.39245	0.54038	0.963749	10127	2	-10.114
BCAS4	5	0.0019498	0.0016121	0.209263	91	2	-0.50461	0.92988	0.89675	0.995789	19438	0	-0.50461
RETNLB	5	0.0019499	0.0016121	0.209263	92	3	-8.8523	0.40896	0.55137	0.963749	10382	1	-8.8523
C9orf163	3	0.0019621	0.00039217	0.104327	93	1	0.070781	0.86711	0.81439	0.974109	18108	0	0.070781
RFPL4B	3	0.0019917	0.00039217	0.104327	94	2	-10.16	0.92242	0.88437	0.992095	19278	0	-10.16
PRR23B	5	0.0020098	0.0016999	0.209664	95	2	0.0095512	0.28316	0.43881	0.963749	8231	2	0.0095512
S100PBP	4	0.0020236	0.00018678	0.067079	96	2	-5.1284	0.81899	0.7631	0.968649	17156	0	-5.1284
ZSWIM4	4	0.0020399	0.00018678	0.067079	97	1	0.4677	0.018199	0.045055	0.963749	1033	2	0.4677
TNC	5	0.0020663	0.0018028	0.209664	98	3	-10.089	0.34038	0.49316	0.963749	9367	1	-10.089
DMBT1	5	0.0020875	0.0018754	0.209664	99	2	-0.57648	0.39551	0.54038	0.963749	10172	2	-0.57648
PNPLA5	5	0.0020997	0.001902	0.209664	100	1	0.2852	0.73025	0.7116	0.963749	15349	1	0.2852
ABHD5	5	0.0020997	0.001902	0.209664	101	3	-6.6697	0.69615	0.69853	0.963749	14745	1	-6.6697
PTPN1	4	0.002144	0.00019919	0.067555	102	3	-5.8723	0.63926	0.62694	0.963749	13806	1	-5.8723
C17orf62	5	0.0021896	0.0020946	0.225668	103	1	0.20197	0.030922	0.083651	0.963749	1633	2	0.20197
MAP3K3	5	0.0022069	0.002237	0.236254	104	3	-9.7754	0.42515	0.56283	0.963749	10640	2	-9.7754
DMRTC2	4	0.0022135	0.00020378	0.067555	105	3	-9.9658	0.74517	0.69405	0.963749	15632	1	-9.9658
ALPL	4	0.0022317	0.00020378	0.067555	106	3	-3.9281	0.98051	0.96545	1.0	20385	0	-3.9281
FIGN	5	0.0022495	0.0023583	0.243143	107	2	0.19531	0.20335	0.35628	0.963749	6628	1	0.19531
FBXW8	5	0.0023095	0.0024879	0.254071	108	2	-0.57017	0.97346	0.95168	1.0	20268	0	-0.57017
GFRA4	5	0.0023672	0.0025366	0.256612	109	2	-0.012547	0.72358	0.70994	0.963749	15213	1	-0.012547
IGIP	5	0.0023694	0.0025366	0.256612	110	2	0.12283	0.37501	0.528	0.963749	9862	1	0.12283
CLCN6	4	0.0023698	0.00021894	0.071482	111	3	-6.1169	0.98529	0.97755	1.0	20457	0	-6.1169
TMPRSS2	3	0.0023988	0.00042755	0.109677	112	2	-10.712	0.51543	0.50905	0.963749	11921	1	-10.712
ZNF781	6	0.0024193	0.0017596	0.209664	113	2	0.24887	0.11353	0.25121	0.963749	4368	3	0.24887
TET3	5	0.0024293	0.0026363	0.261783	114	2	-0.43474	0.78127	0.74919	0.965722	16394	1	-0.43474
ZZEF1	6	0.0024525	0.001761	0.209664	115	2	0.025568	0.53664	0.66959	0.963749	12252	1	0.025568
MRGPRF	4	0.0024655	0.00023549	0.074621	116	2	-5.0324	0.74239	0.69225	0.963749	15577	1	-5.0324
PET117	2	0.0025082	0.00022859	0.073519	117	2	-6.5964	0.91849	0.93048	1.0	19188	0	-6.5964
TANGO6	3	0.0025376	0.0005847	0.131931	118	1	0.46079	0.364	0.42495	0.963749	9713	1	0.46079
ZNF358	5	0.0025636	0.002821	0.277115	119	3	-10.013	0.33632	0.49013	0.963749	9277	1	-10.013
KAT7	4	0.0025673	0.00025387	0.07928	120	2	-1.0376	0.98215	0.96947	1.0	20408	0	-1.0376
ICOSLG	3	0.0026319	0.0005847	0.131931	121	2	-10.057	0.55228	0.52712	0.963749	12479	1	-10.057
COG3	5	0.0026449	0.002968	0.286444	122	5	-2.3421	0.99736	0.99727	1.0	20630	0	-2.3421
COL6A3	6	0.0026674	0.0017807	0.209664	123	3	-4.7833	0.8318	0.80491	0.973952	17404	1	-4.7833
AVPR2	3	0.0027174	0.00058515	0.131931	124	2	-2.4127	0.61769	0.57756	0.963749	13443	1	-2.4127
LRRC27	5	0.0027191	0.0031316	0.297357	125	3	-7.8725	0.78731	0.75244	0.965722	16523	1	-7.8725
SMIM13	4	0.0027591	0.00026903	0.081648	126	1	-0.055408	0.83494	0.78753	0.97032	17457	0	-0.055408
PDE1C	4	0.0027747	0.00032784	0.093082	127	4	-6.8531	0.99723	0.99995	1.0	20629	0	-6.8531
TSGA13	4	0.0028254	0.0003283	0.093082	128	3	-5.97	0.98499	0.97703	1.0	20454	0	-5.97
DKK3	5	0.0028364	0.0034399	0.310141	129	3	-9.9761	0.76982	0.73949	0.96572	16150	1	-9.9761
OR1D5	5	0.0028787	0.0035442	0.316648	130	2	-0.13819	0.41214	0.55649	0.963749	10430	1	-0.13819
FBP1	4	0.0028789	0.00039952	0.104987	131	2	-4.3874	0.43855	0.52442	0.963749	10854	1	-4.3874
WNT8B	6	0.0029425	0.0017899	0.209664	132	3	-5.0646	0.89202	0.84688	0.981389	18647	0	-5.0646
ABCB9	6	0.0029864	0.0017899	0.209664	133	4	-1.1209	0.77515	0.77175	0.969632	16263	1	-1.1209
HOXA3	3	0.0030051	0.00059802	0.131931	134	2	-2.9556	0.66823	0.60621	0.963749	14263	0	-2.9556
ZWINT	5	0.0030284	0.0039146	0.329498	135	2	-0.53587	0.83954	0.78837	0.97032	17543	0	-0.53587
SLX1A	6	0.0030858	0.0017904	0.209664	136	3	-0.53634	0.9601	0.93723	1.0	20004	0	-0.53634
ASPRV1	4	0.0030946	0.00054977	0.131931	137	2	-4.2331	0.93612	0.89886	0.995867	19559	0	-4.2331
SP140	3	0.0031036	0.00059848	0.131931	138	2	-10.624	0.94454	0.91225	1.0	19719	0	-10.624
NRXN3	5	0.0031129	0.0040998	0.335535	139	2	0.61221	0.039736	0.10206	0.963749	1954	3	0.61221
LDOC1	6	0.0031301	0.0017904	0.209664	140	1	0.46318	0.24022	0.42511	0.963749	7423	3	0.46318
TTC39A	5	0.0031477	0.0042454	0.335535	141	3	-8.2005	0.53546	0.6236	0.963749	12235	1	-8.2005
PPP2R5C	5	0.0031531	0.0042459	0.335535	142	5	-1.8289	0.99685	0.99601	1.0	20627	0	-1.8289
ARRB1	3	0.003164	0.00059848	0.131931	143	2	-10.617	0.29831	0.38354	0.963749	8555	1	-10.617
ADAD2	4	0.0031897	0.00057642	0.131931	144	4	-9.2525	0.99424	0.99692	1.0	20600	0	-9.2525
DGKI	6	0.003202	0.0017904	0.209664	145	3	-3.1946	0.94522	0.91467	1.0	19740	0	-3.1946
GLT1D1	4	0.0032383	0.00060078	0.131931	146	2	-3.7244	0.42281	0.51907	0.963749	10601	1	-3.7244
TRAPPC1	5	0.0032575	0.0044531	0.335535	147	2	-0.21724	0.29611	0.44628	0.963749	8507	1	-0.21724
RFX3	6	0.0032738	0.0017931	0.209664	148	2	0.18154	0.042424	0.11506	0.963749	2061	2	0.18154
POLR1A	2	0.0032886	0.00026122	0.08041	149	2	-10.691	0.99671	0.99974	1.0	20626	0	-10.691
RNF151	5	0.0033578	0.0046925	0.335535	150	1	0.16506	0.25105	0.4012	0.963749	7619	2	0.16506
ADAM15	5	0.0033578	0.0046925	0.335535	151	2	0.0031312	0.74161	0.71808	0.963749	15561	1	0.0031312
TSSK3	3	0.003359	0.0006118	0.131931	152	3	-9.4168	0.99664	0.99973	1.0	20625	0	-9.4168
TTC27	5	0.0033945	0.0047067	0.335535	153	2	-0.12135	0.77972	0.74757	0.965722	16353	1	-0.12135
EIF3B	4	0.00343	0.00065637	0.136091	154	1	-0.53205	0.24143	0.36734	0.963749	7463	1	-0.53205
EXOSC5	3	0.0034365	0.0006118	0.131931	155	1	0.3973	0.70247	0.63542	0.963749	14847	0	0.3973
NBEAL2	4	0.0034389	0.00065683	0.136091	156	2	-5.01	0.68084	0.64817	0.963749	14499	1	-5.01
RPN1	6	0.0034534	0.0018078	0.209664	157	4	-1.0306	0.56435	0.68426	0.963749	12670	1	-1.0306
PCYT2	3	0.0034767	0.00061226	0.131931	158	2	-10.577	0.71301	0.6421	0.963749	15019	0	-10.577
C2CD4A	5	0.0035075	0.0047072	0.335535	159	2	-0.061163	0.82653	0.77856	0.970158	17305	1	-0.061163
IL11	3	0.0035443	0.00061226	0.131931	160	1	-0.1157	0.80729	0.75412	0.966554	16933	0	-0.1157
MAN2A2	6	0.0035612	0.0018198	0.209664	161	3	-4.0062	0.79493	0.78041	0.970158	16681	1	-4.0062
RGS9BP	4	0.0035737	0.00077814	0.15252	162	2	-0.92611	0.3412	0.47023	0.963749	9387	1	-0.92611
MED21	4	0.0035754	0.00077814	0.15252	163	3	-5.6775	0.91697	0.87865	0.989987	19156	0	-5.6775
BANF2	4	0.0036095	0.0007786	0.15252	164	2	-5.0992	0.29435	0.43605	0.963749	8471	2	-5.0992
SP4	5	0.0036592	0.0047196	0.335535	165	2	-0.24175	0.47781	0.60226	0.963749	11418	1	-0.24175
LRCH4	4	0.0036695	0.00083557	0.160758	166	2	-4.9043	0.86659	0.81737	0.975121	18092	0	-4.9043
C18orf25	5	0.0036871	0.0047196	0.335535	167	3	-7.8476	0.88899	0.8473	0.981389	18585	0	-7.8476
MUC16	4	0.0037006	0.00087968	0.167747	168	2	-5.0901	0.18877	0.32144	0.963749	6283	1	-5.0901
CLN6	6	0.0037767	0.0018455	0.209664	169	3	-4.9129	0.33733	0.51568	0.963749	9298	2	-4.9129
ADD2	5	0.0038069	0.0047605	0.335535	170	2	0.071375	0.91774	0.87761	0.989477	19171	0	0.071375
FCRL1	4	0.0038132	0.0009702	0.172221	171	1	0.60265	0.10087	0.20442	0.963749	4043	2	0.60265
IGSF22	5	0.003915	0.0047605	0.335535	172	3	-8.0279	0.25799	0.40691	0.963749	7765	2	-8.0279
OR2AG1	4	0.0039569	0.0012905	0.189163	173	2	-3.9788	0.30277	0.4438	0.963749	8648	1	-3.9788
TCTN1	4	0.0039832	0.0013038	0.189825	174	4	-4.9837	0.99602	0.99936	1.0	20620	0	-4.9837
CTF1	5	0.0039864	0.004761	0.335535	175	2	0.21285	0.16034	0.30845	0.963749	5569	2	0.21285
ALG3	2	0.0039996	0.00033565	0.093931	176	2	-10.054	0.996	0.99966	1.0	20618	0	-10.054
BRI3BP	4	0.0040136	0.001324	0.191475	177	3	-9.8392	0.64645	0.62872	0.963749	13930	1	-9.8392
ADCY2	6	0.0040251	0.0019071	0.209664	178	3	-4.7351	0.94591	0.91636	1.0	19752	0	-4.7351
SPRY1	4	0.0040527	0.0013819	0.195903	179	3	-8.5063	0.91934	0.87956	0.99002	19211	0	-8.5063
CASKIN2	4	0.0040832	0.0014205	0.200058	180	3	-5.8953	0.63511	0.62516	0.963749	13737	1	-5.8953
GOSR1	4	0.0041006	0.0014701	0.204439	181	2	-4.3641	0.4333	0.52088	0.963749	10765	1	-4.3641
ARHGEF1	5	0.0041061	0.004761	0.335535	182	2	0.37657	0.38169	0.53419	0.963749	9944	2	0.37657
hsa-mir-6859-1	4	0.0041181	0.0014706	0.204439	183	4	-3.0656	0.99588	0.9992	1.0	20617	0	-3.0656
ADO	4	0.0041518	0.001511	0.208714	184	4	-9.3804	0.99585	0.99915	1.0	20614	0	-9.3804
AKAP10	6	0.004166	0.0020038	0.219179	185	3	-4.7476	0.16636	0.33732	0.963749	5706	3	-4.7476
hsa-mir-8086	4	0.0042533	0.0016438	0.209664	186	4	-4.0999	0.99575	0.99902	1.0	20613	0	-4.0999
RAB10	5	0.0042714	0.0048064	0.335535	187	2	-0.14303	0.37462	0.528	0.963749	9859	2	-0.14303
PLA2R1	6	0.0042818	0.0020339	0.221347	188	3	-5.0337	0.33751	0.51568	0.963749	9303	2	-5.0337
C11orf53	4	0.0042921	0.0016865	0.209664	189	1	-0.017431	0.14129	0.25147	0.963749	5079	1	-0.017431
ZNF605	5	0.0043048	0.0048064	0.335535	190	2	0.2734	0.077883	0.17908	0.963749	3385	2	0.2734
LRP2	6	0.0043152	0.0020523	0.222225	191	3	-4.6426	0.71813	0.74138	0.96572	15110	1	-4.6426
GUK1	5	0.0043239	0.0048064	0.335535	192	3	-0.70789	0.94773	0.91877	1.0	19784	0	-0.70789
MRGPRX2	4	0.00434	0.0017316	0.209664	193	1	0.165	0.55645	0.57215	0.963749	12547	1	0.165
CORT	4	0.0043445	0.001732	0.209664	194	3	-5.3845	0.98926	0.98521	1.0	20535	0	-5.3845
NKX2-3	4	0.0043632	0.0017807	0.209664	195	2	-5.4718	0.18305	0.31394	0.963749	6141	1	-5.4718
KIAA1804	5	0.0044053	0.0048069	0.335535	196	2	-0.11231	0.8241	0.77534	0.970158	17269	1	-0.11231
AKAP12	4	0.0044118	0.0018055	0.209664	197	1	0.29241	0.49622	0.54752	0.963749	11665	1	0.29241
KCNJ5	5	0.0044177	0.0048069	0.335535	198	2	-0.23779	0.096688	0.21176	0.963749	3925	2	-0.23779
TOP1	3	0.0044784	0.00092563	0.172221	199	1	0.44641	0.41697	0.44459	0.963749	10512	1	0.44641
ARC	4	0.0044836	0.0018281	0.209664	200	2	-0.67033	0.76874	0.71185	0.963749	16123	0	-0.67033
ZNF821	4	0.0044857	0.0018409	0.209664	201	3	-9.5056	0.406	0.51018	0.963749	10335	1	-9.5056
MEIOB	6	0.0044947	0.0021217	0.227452	202	2	0.37159	0.06944	0.18123	0.963749	3062	2	0.37159
TM4SF5	4	0.0045237	0.0018758	0.209664	203	2	-5.036	0.25631	0.38158	0.963749	7733	2	-5.036
GANAB	4	0.0045315	0.0018758	0.209664	204	1	0.22654	0.14402	0.25147	0.963749	5155	2	0.22654
hsa-mir-1299	4	0.0045378	0.0018758	0.209664	205	4	-2.8449	0.99546	0.99888	1.0	20612	0	-2.8449
C19orf70	4	0.0046175	0.0019048	0.209664	206	2	-4.978	0.85798	0.80984	0.973952	17897	0	-4.978
KIAA1468	2	0.0046299	0.00037609	0.102582	207	1	-5.3744	0.16831	0.23603	0.963749	5760	1	-5.3744
SYDE1	5	0.0046446	0.0048864	0.335535	208	3	-1.3235	0.22572	0.38137	0.963749	7140	1	-1.3235
KREMEN1	5	0.0047044	0.0048864	0.335535	209	2	-0.24825	0.40354	0.5462	0.963749	10289	1	-0.24825
RAB27A	6	0.00471	0.0022549	0.236254	210	3	-4.1806	0.43347	0.59413	0.963749	10768	1	-4.1806
ELK1	4	0.0047629	0.002231	0.236254	211	2	-5.2589	0.43556	0.52442	0.963749	10804	1	-5.2589
GJB4	4	0.0047708	0.0022586	0.236254	212	2	-0.78088	0.70825	0.67109	0.963749	14937	1	-0.78088
MAP2K6	6	0.0047805	0.0022788	0.236648	213	3	-5.0449	0.14199	0.30201	0.963749	5099	2	-5.0449
ZNF772	3	0.0048017	0.00094217	0.172221	214	2	-0.72324	0.56212	0.53075	0.963749	12637	1	-0.72324
GRK4	4	0.0048186	0.0022843	0.236648	215	3	-5.7842	0.8875	0.84488	0.981389	18553	0	-5.7842
RNF215	5	0.004824	0.0049916	0.335535	216	2	-0.2871	0.68456	0.69365	0.963749	14566	1	-0.2871
SLC5A10	3	0.0048832	0.00094217	0.172221	217	2	-9.8436	0.49857	0.5002	0.963749	11694	1	-9.8436
CTSZ	4	0.0048906	0.0025609	0.257126	218	2	-4.6638	0.16805	0.2896	0.963749	5752	2	-4.6638
GJB7	5	0.0048924	0.0050196	0.335535	219	3	-9.1162	0.28911	0.443	0.963749	8351	2	-9.1162
MAFG	4	0.0049144	0.0026078	0.260153	220	1	0.13095	0.057165	0.13494	0.963749	2605	1	0.13095
TSC2	5	0.0049161	0.0051322	0.335535	221	2	0.41158	0.68296	0.69205	0.963749	14537	1	0.41158
MFN2	2	0.0049392	0.00041836	0.108613	222	2	-10.057	0.99506	0.99958	1.0	20609	0	-10.057
SNX24	6	0.0049971	0.002436	0.249953	223	2	0.54471	0.33263	0.50921	0.963749	9206	2	0.54471
EGR1	2	0.0050252	0.00047212	0.118294	224	1	-5.0376	0.17165	0.23603	0.963749	5848	1	-5.0376
CYP2U1	4	0.0050266	0.0027535	0.272164	225	4	-7.8341	0.99497	0.9983	1.0	20607	0	-7.8341
IL1A	4	0.005044	0.0028293	0.277115	226	2	-4.93	0.016018	0.043297	0.963749	935	1	-4.93
GDI2	5	0.0050698	0.0051322	0.335535	227	3	-7.5084	0.44828	0.57931	0.963749	10986	1	-7.5084
TCEB2	4	0.0050816	0.0030227	0.289483	228	3	-9.5334	0.79204	0.73679	0.96572	16621	0	-9.5334
MPDU1	6	0.0051537	0.0025655	0.257126	229	4	-5.3989	0.94441	0.91467	1.0	19714	0	-5.3989
