id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
URB1	4	0.00032162	8.9083e-05	0.029474	48	4	-0.61627	0.99968	0.99996	1.0	20544	0	-0.61627
USP17L11	6	0.0003243	0.00010343	0.030439	49	5	-0.20446	0.98402	0.99406	1.0	20131	0	-0.20446
SSSCA1	4	0.00032733	8.9546e-05	0.029474	50	4	-1.1384	0.99967	0.99996	1.0	20543	0	-1.1384
CRCP	3	0.00032833	4.9285e-05	0.02087	51	3	-1.8058	0.99309	0.99773	1.0	20349	0	-1.8058
PIH1D1	3	0.00033033	4.9285e-05	0.02087	52	3	-1.0126	0.99967	0.99997	1.0	20542	0	-1.0126
SYS1	4	0.00034136	9.3711e-05	0.030378	53	4	-0.62542	0.9668	0.98352	1.0	19739	0	-0.62542
REV3L	3	0.00034913	4.9748e-05	0.02087	54	2	-0.62912	0.788	0.86548	1.0	15989	0	-0.62912
TSR1	4	0.00036006	0.00010389	0.030439	55	4	-0.68427	0.99964	0.99995	1.0	20541	0	-0.68427
GTF2H2	5	0.00037023	0.00012425	0.033651	56	5	-0.78307	0.99805	0.99944	1.0	20484	0	-0.78307
TSPAN4	4	0.00037338	0.00010482	0.030439	57	4	-0.42531	0.99963	0.99995	1.0	20540	0	-0.42531
ELMO2	5	0.00037844	0.00012981	0.034715	58	5	-0.44215	0.99962	0.99994	1.0	20539	0	-0.44215
VPS25	4	0.00038322	0.00010482	0.030439	59	4	-2.152	0.96987	0.98561	1.0	19811	0	-2.152
NRF1	3	0.00040057	5.1599e-05	0.02123	60	2	-0.95415	0.32655	0.48435	1.0	8257	1	-0.95415
RNF135	3	0.00041707	5.7152e-05	0.023071	61	3	-0.84699	0.99958	0.99996	1.0	20538	0	-0.84699
NME3	4	0.00042376	0.00010528	0.030439	62	4	-0.47471	0.99893	0.99977	1.0	20514	0	-0.47471
RNF31	4	0.00043236	0.00010528	0.030439	63	4	-0.74125	0.98204	0.99016	1.0	20082	0	-0.74125
GPANK1	4	0.00045852	0.00011778	0.032559	64	4	-0.85185	0.99954	0.99993	1.0	20537	0	-0.85185
LOC100506688	3	0.00046116	6.8259e-05	0.026553	65	3	-0.76571	0.99954	0.99995	1.0	20536	0	-0.76571
MCM6	3	0.0004741	0.00010389	0.030439	66	3	-0.99066	0.98308	0.99319	1.0	20105	0	-0.99066
MAEA	4	0.00047548	0.00013721	0.035066	67	4	-0.48892	0.99952	0.99992	1.0	20535	0	-0.48892
WDR24	3	0.00047576	0.00010389	0.030439	68	3	-0.94107	0.99952	0.99993	1.0	20534	0	-0.94107
TPPP	4	0.00048274	0.00013721	0.035066	69	3	-0.49475	0.69042	0.77521	1.0	14040	1	-0.49475
DHX15	4	0.00048605	0.00013767	0.035066	70	3	-1.2378	0.94028	0.9708	1.0	19138	0	-1.2378
SCNM1	4	0.00048718	0.00013767	0.035066	71	4	-0.42249	0.99951	0.99992	1.0	20533	0	-0.42249
GK2	5	0.00048835	0.00022606	0.048855	72	3	-0.28904	0.97057	0.98797	1.0	19828	0	-0.28904
ASB16	3	0.00049241	0.00011083	0.031617	73	3	-0.62095	0.99951	0.99993	1.0	20532	0	-0.62095
FOXA2	3	0.00049736	0.00011824	0.032559	74	3	-0.84514	0.9995	0.99992	1.0	20531	0	-0.84514
ATP1B1	3	0.0005142	0.0001187	0.032559	75	3	-0.53174	0.99949	0.99992	1.0	20530	0	-0.53174
PSMD8	4	0.00052487	0.00015202	0.037499	76	3	-0.66125	0.75401	0.83645	1.0	15302	1	-0.66125
INTS3	5	0.000541	0.0002492	0.04946	77	3	-0.41214	0.9354	0.9696	1.0	19028	0	-0.41214
IPO9	4	0.00056265	0.00015248	0.037499	78	4	-0.65513	0.99944	0.9999	1.0	20529	0	-0.65513
hsa-mir-431	4	0.00059301	0.00016498	0.04011	79	3	-1.4475	0.80226	0.87656	1.0	16293	0	-1.4475
GINS4	3	0.00060896	0.00018395	0.042853	80	3	-1.681	0.99878	0.9998	1.0	20504	0	-1.681
RFC5	3	0.00061028	0.00018395	0.042853	81	2	-0.97847	0.21132	0.40921	1.0	6276	1	-0.97847
SART3	3	0.0006315	0.00018441	0.042853	82	3	-1.2908	0.99899	0.99982	1.0	20516	0	-1.2908
NSMCE1	4	0.00063717	0.00018256	0.042853	83	4	-0.43704	0.99132	0.99659	1.0	20316	0	-0.43704
ATP6V1F	4	0.00065162	0.00018673	0.042853	84	3	-0.52887	0.58676	0.709	1.0	12207	1	-0.52887
IMP4	3	0.00066951	0.00020061	0.044248	85	3	-1.0283	0.99914	0.99982	1.0	20523	0	-1.0283
NBPF4	4	0.00066952	0.00019182	0.042853	86	4	-0.67919	0.99933	0.99987	1.0	20528	0	-0.67919
DIMT1	4	0.00071366	0.00023023	0.048868	87	2	-0.35263	0.23907	0.44183	1.0	6761	1	-0.35263
RAD9A	5	0.0007275	0.0003251	0.055025	88	5	-0.72026	0.99927	0.99984	1.0	20527	0	-0.72026
MED11	3	0.00072975	0.00021635	0.047232	89	3	-0.66024	0.99927	0.99986	1.0	20526	0	-0.66024
DPAGT1	5	0.00076666	0.00033343	0.055025	90	5	-0.52462	0.99264	0.99664	1.0	20344	0	-0.52462
DPH3	4	0.0007757	0.00024411	0.04946	91	2	-0.80835	0.90867	0.95191	1.0	18466	0	-0.80835
PPAN	4	0.00078553	0.00024411	0.04946	92	3	-0.67922	0.80481	0.88149	1.0	16344	0	-0.67922
ADM2	3	0.00080785	0.0002455	0.04946	93	3	-0.36859	0.99919	0.99983	1.0	20525	0	-0.36859
CDH24	3	0.00082044	0.0002455	0.04946	94	3	-0.54641	0.99918	0.99983	1.0	20524	0	-0.54641
KPNB1	3	0.00087676	0.00025614	0.04946	95	3	-1.2234	0.99912	0.99982	1.0	20522	0	-1.2234
NOP56	4	0.00089977	0.00028761	0.053978	96	2	-0.044469	0.70425	0.78759	1.0	14312	1	-0.044469
SHROOM1	2	0.00090031	0.00014138	0.035585	97	2	-1.6345	0.9991	0.99986	1.0	20521	0	-1.6345
LETM1	3	0.00091094	0.00025614	0.04946	98	3	-1.5003	0.95468	0.97211	1.0	19464	0	-1.5003
TBCA	3	0.00091415	0.00025614	0.04946	99	2	-1.3011	0.81161	0.8825	1.0	16478	0	-1.3011
VIM	4	0.00092718	0.00029502	0.054413	100	4	-0.63104	0.99907	0.99982	1.0	20520	0	-0.63104
ARMC7	4	0.00092751	0.00029502	0.054413	101	4	-0.62908	0.99907	0.99982	1.0	20519	0	-0.62908
GINS3	2	0.0009408	0.00019182	0.042853	102	2	-0.96373	0.99906	0.99981	1.0	20518	0	-0.96373
NDRG2	3	0.00094903	0.00025661	0.04946	103	3	-0.79697	0.99905	0.99982	1.0	20517	0	-0.79697
DMAP1	4	0.0009618	0.00033852	0.055025	104	4	-0.6107	0.96744	0.98394	1.0	19757	0	-0.6107
THOC6	5	0.00096349	0.00037832	0.057815	105	4	-0.47955	0.78015	0.85547	1.0	15826	1	-0.47955
UBE2L3	3	0.00098618	0.00025661	0.04946	106	2	-0.62839	0.706	0.79807	1.0	14348	0	-0.62839
hsa-mir-6820	3	0.00102	0.00030196	0.055025	107	3	-0.81106	0.99898	0.9998	1.0	20515	0	-0.81106
TMEM63A	3	0.0010334	0.00034453	0.055025	108	2	-0.4807	0.8147	0.88335	1.0	16555	0	-0.4807
NR2C2AP	3	0.0011083	0.00034453	0.055025	109	3	-0.60031	0.99889	0.9998	1.0	20513	0	-0.60031
KRT80	3	0.0011233	0.00034453	0.055025	110	3	-0.54935	0.99888	0.9998	1.0	20511	0	-0.54935
SEPT6	3	0.0011384	0.00034453	0.055025	111	3	-0.55405	0.99886	0.9998	1.0	20510	0	-0.55405
DBR1	2	0.0011492	0.00019228	0.042853	112	2	-1.1161	0.99885	0.99981	1.0	20509	0	-1.1161
RPL13A	3	0.0011563	0.00034453	0.055025	113	3	-1.1134	0.91394	0.95	1.0	18588	0	-1.1134
SIL1	3	0.001179	0.000345	0.055025	114	3	-2.2565	0.99882	0.9998	1.0	20508	0	-2.2565
MED8	2	0.0011821	0.00023069	0.048868	115	2	-2.0962	0.99882	0.99977	1.0	20507	0	-2.0962
STOML1	5	0.0011847	0.00054445	0.068317	116	5	-0.40901	0.99882	0.9997	1.0	20506	0	-0.40901
hsa-mir-6770-1	3	0.0011884	0.000345	0.055025	117	3	-0.56141	0.99881	0.9998	1.0	20505	0	-0.56141
RNH1	4	0.0012099	0.00051113	0.066637	118	2	-0.15969	0.77618	0.85307	1.0	15743	0	-0.15969
RPL28	3	0.001224	0.000345	0.055025	119	3	-0.49792	0.99035	0.99662	1.0	20292	0	-0.49792
TNPO3	5	0.0012283	0.00055	0.068317	120	4	-0.75772	0.96199	0.98215	1.0	19637	0	-0.75772
MAGEA2	5	0.0012347	0.00055047	0.068317	121	5	-0.43984	0.99877	0.99969	1.0	20503	0	-0.43984
APOLD1	3	0.0012516	0.000345	0.055025	122	3	-0.49028	0.99875	0.9998	1.0	20502	0	-0.49028
RHOXF2	3	0.0012557	0.000345	0.055025	123	2	-0.45845	0.77661	0.85484	1.0	15751	0	-0.45845
FBXO42	6	0.0012563	0.00080638	0.087576	124	5	-0.26639	0.9229	0.96257	1.0	18792	0	-0.26639
GNB2L1	3	0.0012723	0.000345	0.055025	125	3	-0.89806	0.99873	0.9998	1.0	20501	0	-0.89806
ZNF282	3	0.0012727	0.000345	0.055025	126	3	-0.74397	0.96006	0.97622	1.0	19582	0	-0.74397
FDXR	3	0.0012859	0.000345	0.055025	127	2	-0.65936	0.1153	0.2367	1.0	4060	1	-0.65936
RNF113B	4	0.0012879	0.00055833	0.068317	128	3	-0.48484	0.58975	0.71385	1.0	12258	1	-0.48484
MEN1	5	0.001317	0.00061942	0.072418	129	4	-0.51274	0.32228	0.564	1.0	8194	1	-0.51274
GPKOW	4	0.0013339	0.0005588	0.068317	130	2	-0.15875	0.0075498	0.040227	1.0	459	2	-0.15875
NRGN	4	0.001342	0.0005588	0.068317	131	4	-0.26752	0.99866	0.9997	1.0	20500	0	-0.26752
WASH1	5	0.0013523	0.00064672	0.075199	132	5	-1.15	0.99865	0.9996	1.0	20499	0	-1.15
PISD	4	0.0013564	0.0005588	0.068317	133	4	-1.2735	0.99864	0.9997	1.0	20498	0	-1.2735
FAM109B	4	0.0014139	0.00058517	0.070496	134	4	-0.60069	0.99859	0.99968	1.0	20497	0	-0.60069
PGS1	4	0.0014363	0.00058517	0.070496	135	4	-0.87269	0.9691	0.9852	1.0	19792	0	-0.87269
BMP8A	5	0.0014506	0.00069855	0.079498	136	5	-0.44522	0.99855	0.99956	1.0	20496	0	-0.44522
TMEM183A	6	0.0014546	0.00098223	0.094237	137	4	-0.25625	0.41191	0.67697	1.0	9520	1	-0.25625
INTS2	3	0.0014667	0.00039821	0.058127	138	2	-0.55356	0.17595	0.34087	1.0	5492	1	-0.55356
TUT1	5	0.0015015	0.00073326	0.081491	139	3	-0.22413	0.24732	0.48972	1.0	6889	1	-0.22413
ACTR1A	4	0.00152	0.00060045	0.07137	140	1	0.08778	0.18446	0.36292	1.0	5677	1	0.08778
CRAMP1L	4	0.0015225	0.00060692	0.071401	141	3	-0.66554	0.26818	0.47726	1.0	7248	1	-0.66554
INTS6	4	0.0015276	0.00060739	0.071401	142	4	-0.68181	0.99847	0.99965	1.0	20495	0	-0.68181
DYNLL1	2	0.0015357	0.00027049	0.051301	143	1	-0.51011	0.47823	0.55832	1.0	10506	1	-0.51011
CTDP1	3	0.0015364	0.00041441	0.058331	144	2	-1.0147	0.56336	0.6553	1.0	11827	1	-1.0147
SPOCD1	5	0.0015616	0.00084664	0.089568	145	5	-0.66876	0.99844	0.99952	1.0	20494	0	-0.66876
CLDN15	4	0.0015729	0.00066477	0.07688	146	4	-0.83847	0.97884	0.98872	1.0	20012	0	-0.83847
LOC100287399	5	0.0015896	0.00085821	0.089568	147	2	0.090792	0.77959	0.8545	1.0	15818	1	0.090792
GPR45	3	0.0015972	0.00043015	0.06015	148	3	-0.67295	0.99505	0.9985	1.0	20392	0	-0.67295
RPUSD4	5	0.0016367	0.00090356	0.090335	149	4	-0.47364	0.87711	0.93337	1.0	17824	0	-0.47364
POLE2	4	0.0016434	0.00068606	0.078493	150	2	-0.63642	0.037904	0.12147	1.0	1742	1	-0.63642
RPP38	3	0.0016591	0.00050095	0.066637	151	3	-0.98709	0.97968	0.99027	1.0	20039	0	-0.98709
G3BP1	3	0.0016597	0.00050095	0.066637	152	3	-0.43974	0.99834	0.9997	1.0	20493	0	-0.43974
BANF1	3	0.0016634	0.00050095	0.066637	153	3	-0.64181	0.92002	0.95198	1.0	18726	0	-0.64181
CCT8	3	0.0016669	0.00050095	0.066637	154	3	-1.1301	0.99833	0.9997	1.0	20492	0	-1.1301
GMFB	4	0.0016828	0.00072586	0.081359	155	3	-0.40961	0.70328	0.78759	1.0	14295	1	-0.40961
SYNE4	4	0.0016829	0.00072586	0.081359	156	4	-0.48314	0.99758	0.99932	1.0	20468	0	-0.48314
PRSS50	3	0.0016894	0.00050141	0.066637	157	3	-0.64956	0.97245	0.98703	1.0	19872	0	-0.64956
CHORDC1	2	0.0016908	0.00027095	0.051301	158	2	-1.3893	0.97474	0.9889	1.0	19926	0	-1.3893
RPS15A	4	0.0017059	0.00072632	0.081359	159	4	-0.75126	0.99816	0.99957	1.0	20488	0	-0.75126
TMEM11	5	0.0017774	0.0010341	0.095361	160	5	-0.28806	0.99822	0.99948	1.0	20491	0	-0.28806
NOP16	4	0.0017969	0.00078231	0.085396	161	3	-0.85657	0.82967	0.89707	1.0	16857	0	-0.85657
AK6	1	0.0018079	2.3139e-07	0.000236	162	1	-1.2721	0.99819	1.0	1.0	20490	0	-1.2721
STAMBPL1	4	0.0018237	0.00078231	0.085396	163	4	-0.65377	0.99818	0.99958	1.0	20489	0	-0.65377
PPT1	3	0.0018427	0.00054954	0.068317	164	3	-0.40149	0.96963	0.98423	1.0	19804	0	-0.40149
CTCF	3	0.001843	0.00054954	0.068317	165	3	-1.2256	0.99816	0.99965	1.0	20487	0	-1.2256
PSMD7	4	0.0018578	0.00081702	0.088284	166	3	-0.79262	0.86379	0.92222	1.0	17561	0	-0.79262
UNKL	3	0.0018631	0.00055	0.068317	167	2	-0.75244	0.43192	0.55257	1.0	9813	1	-0.75244
FOXD4L2	5	0.0018643	0.0010535	0.096736	168	4	-0.28817	0.74614	0.83386	1.0	15155	1	-0.28817
RPL6	1	0.0018855	2.3139e-07	0.000236	169	1	-1.3628	0.99811	1.0	1.0	20486	0	-1.3628
PKM	4	0.0018919	0.00085034	0.089568	170	3	-0.52518	0.78621	0.85983	1.0	15956	0	-0.52518
DDB1	3	0.0018998	0.00058934	0.070496	171	2	-1.2772	0.61521	0.70145	1.0	12707	1	-1.2772
GTPBP2	3	0.0019268	0.0005898	0.070496	172	3	-0.63224	0.99807	0.99961	1.0	20485	0	-0.63224
CPSF3	4	0.0019539	0.0008508	0.089568	173	4	-0.57316	0.98936	0.99543	1.0	20267	0	-0.57316
ANAPC4	2	0.0019609	0.00035703	0.055025	174	2	-1.361	0.99804	0.99964	1.0	20483	0	-1.361
ALG14	2	0.0019871	0.00035703	0.055025	175	2	-0.94157	0.99801	0.99964	1.0	20482	0	-0.94157
GBP3	4	0.0020078	0.00092022	0.091573	176	2	-0.16487	0.1734	0.35188	1.0	5417	2	-0.16487
UTP23	4	0.0020159	0.00099935	0.095028	177	2	-0.080295	0.64238	0.74701	1.0	13157	1	-0.080295
CSF3R	3	0.002037	0.00073511	0.081491	178	3	-0.51927	0.99796	0.99959	1.0	20481	0	-0.51927
RFC2	5	0.0020545	0.0011766	0.102185	179	3	-0.15511	0.17821	0.41143	1.0	5546	1	-0.15511
SH3RF3	4	0.0020655	0.0010933	0.099962	180	4	-0.41374	0.99793	0.9995	1.0	20480	0	-0.41374
PRAF2	5	0.002079	0.0012312	0.104117	181	4	-0.38061	0.14211	0.3568	1.0	4683	1	-0.38061
ANKRD34B	4	0.0021051	0.0011174	0.100869	182	4	-0.56573	0.99534	0.99853	1.0	20403	0	-0.56573
ATP6AP1	4	0.0021053	0.0011174	0.100869	183	4	-0.72473	0.98669	0.99337	1.0	20198	0	-0.72473
IRX5	6	0.0021202	0.0014806	0.116037	184	5	-0.49021	0.88345	0.93671	1.0	17954	0	-0.49021
KCNK6	4	0.0021264	0.0011363	0.100879	185	4	-0.33789	0.99787	0.99948	1.0	20479	0	-0.33789
SOST	4	0.002127	0.0011363	0.100879	186	4	-0.49836	0.99787	0.99948	1.0	20478	0	-0.49836
SPC24	4	0.0021331	0.0011363	0.100879	187	4	-1.3508	0.97743	0.98807	1.0	19983	0	-1.3508
RPS21	4	0.0021398	0.001171	0.102185	188	2	-0.16736	0.3022	0.53254	1.0	7832	1	-0.16736
NOMO1	5	0.0021425	0.0012682	0.106407	189	3	-0.4933	0.53195	0.73611	1.0	11321	1	-0.4933
UNC13D	4	0.002151	0.001171	0.102185	190	4	-0.56724	0.99785	0.99946	1.0	20477	0	-0.56724
NOM1	4	0.0021807	0.0011988	0.102185	191	3	-0.8326	0.92871	0.9622	1.0	18909	0	-0.8326
TBCD	2	0.0021869	0.00035749	0.055025	192	2	-1.4179	0.99563	0.99912	1.0	20411	0	-1.4179
NUP93	3	0.0022115	0.00083368	0.089233	193	3	-0.95558	0.99779	0.99957	1.0	20476	0	-0.95558
GUCA2B	4	0.0022245	0.0012187	0.103469	194	4	-0.48016	0.99778	0.99944	1.0	20475	0	-0.48016
TAF5	3	0.0022563	0.00083415	0.089233	195	3	-0.77654	0.93284	0.96004	1.0	18980	0	-0.77654
SLC2A5	3	0.0023134	0.00085404	0.089568	196	3	-0.40956	0.99769	0.99955	1.0	20474	0	-0.40956
UBE2G2	2	0.0023151	0.00035749	0.055025	197	2	-1.3552	0.99768	0.99964	1.0	20473	0	-1.3552
SNRNP25	4	0.0023247	0.001315	0.108244	198	4	-1.0452	0.99768	0.99934	1.0	20472	0	-1.0452
ZNF335	3	0.002334	0.00089708	0.090155	199	3	-0.61353	0.95707	0.97528	1.0	19518	0	-0.61353
SDAD1	4	0.0023391	0.001315	0.108244	200	2	-0.46911	0.5084	0.66611	1.0	10952	1	-0.46911
IQSEC2	2	0.0023556	0.00035749	0.055025	201	2	-0.70605	0.99764	0.99964	1.0	20471	0	-0.70605
EMC3	4	0.0023877	0.0013154	0.108244	202	1	0.32087	0.014275	0.052102	1.0	769	3	0.32087
N4BP2L1	3	0.0023933	0.00089708	0.090155	203	3	-0.57728	0.99761	0.99951	1.0	20470	0	-0.57728
EIF2B2	3	0.0023956	0.00089708	0.090155	204	3	-0.63437	0.95607	0.97344	1.0	19496	0	-0.63437
hsa-mir-4313	3	0.0024192	0.00089754	0.090155	205	3	-0.61719	0.99758	0.99951	1.0	20469	0	-0.61719
EHD1	5	0.002424	0.0014561	0.114535	206	3	-0.43098	0.44545	0.69361	1.0	9993	2	-0.43098
AGAP4	5	0.0024257	0.0014561	0.114535	207	4	-0.65306	0.17209	0.40779	1.0	5394	1	-0.65306
TRMT112	3	0.0024422	0.00089754	0.090155	208	1	0.39444	0.036236	0.10622	1.0	1682	2	0.39444
ZNF259	4	0.0024497	0.0014075	0.113247	209	4	-0.45773	0.98847	0.9949	1.0	20247	0	-0.45773
SQRDL	2	0.0024499	0.00035749	0.055025	210	2	-0.58427	0.99755	0.99964	1.0	20467	0	-0.58427
MPP3	3	0.0024631	0.00089754	0.090155	211	3	-0.60747	0.99754	0.99951	1.0	20466	0	-0.60747
C7orf26	4	0.0025116	0.001408	0.113247	212	2	-0.34767	0.26649	0.47726	1.0	7227	2	-0.34767
PTPMT1	4	0.0025213	0.001408	0.113247	213	3	-1.5249	0.95764	0.97997	1.0	19528	0	-1.5249
EIF6	3	0.0025351	0.00095447	0.093246	214	3	-1.9179	0.99746	0.99945	1.0	20465	0	-1.9179
OSGEP	4	0.0025432	0.0014302	0.114175	215	3	-0.77482	0.87619	0.93353	1.0	17807	0	-0.77482
DHPS	3	0.0025816	0.00097436	0.093903	216	3	-0.70657	0.99021	0.99662	1.0	20289	0	-0.70657
TBC1D24	3	0.0025857	0.00097436	0.093903	217	3	-0.87812	0.99741	0.99943	1.0	20464	0	-0.87812
IRF2BP2	4	0.0025934	0.0014987	0.117023	218	3	-0.37288	0.73583	0.81328	1.0	14941	1	-0.37288
SP8	3	0.0025945	0.00097436	0.093903	219	3	-0.56748	0.99741	0.99943	1.0	20463	0	-0.56748
SYMPK	3	0.002628	0.00099935	0.095028	220	3	-1.9912	0.99737	0.9994	1.0	20462	0	-1.9912
HUS1	1	0.0026304	2.3139e-07	0.000236	221	1	-2.4023	0.99737	1.0	1.0	20461	0	-2.4023
GET4	2	0.0026345	0.00040978	0.058127	222	2	-1.0277	0.99737	0.99959	1.0	20460	0	-1.0277
FARSB	4	0.0026493	0.0015343	0.118544	223	4	-0.42621	0.99735	0.99924	1.0	20459	0	-0.42621
FAM26F	4	0.0026551	0.0015343	0.118544	224	3	-0.2482	0.22579	0.42663	1.0	6538	1	-0.2482
SF1	2	0.0026713	0.00040978	0.058127	225	2	-4.3817	0.99733	0.99959	1.0	20458	0	-4.3817
TAF1C	3	0.0026746	0.0010304	0.095361	226	3	-1.2657	0.99211	0.99735	1.0	20330	0	-1.2657
KIF2A	5	0.0026762	0.001688	0.123255	227	4	-0.80982	0.67727	0.80091	1.0	13787	1	-0.80982
NAA10	3	0.002721	0.0011983	0.102185	228	2	-1.0365	0.78605	0.86255	1.0	15955	0	-1.0365
RPL3	4	0.0027343	0.0015348	0.118544	229	4	-1.0095	0.98896	0.99517	1.0	20258	0	-1.0095
